id,ref,subject,description,sprint_id,sprint,sprint_estimated_start,sprint_estimated_finish,owner,owner_full_name,assigned_to,assigned_to_full_name,assigned_users,assigned_users_full_name,status,is_closed,swimlane,back-points,design-points,front-points,ux-points,total-points,backlog_order,sprint_order,kanban_order,created_date,modified_date,finish_date,client_requirement,team_requirement,attachments,generated_from_issue,generated_from_task,from_task_ref,external_reference,tasks,tags,watchers,voters,due_date,due_date_reason,Business Value,Depends On
3871935,2,GUI - Homescreen,"As a player of the game, I would like to have a home screen upon opening the game so that I can see a welcome message

Acceptance Criteria :
A welcome message displayed on the screen upon launching the application",308838,Sprint 1,2022-02-05,2022-02-11,mpattan,Mohammed Sarfraz Khan Pattan,dpoluri,dpoluri,dpoluri,dpoluri,New,True,,1.0,1.0,1.0,2.0,5.0,1644109038297924,1,1644107379097822,2022-02-06 00:29:39.097832+00:00,2022-02-20 00:53:10.205496+00:00,2022-02-11 01:54:50.301714+00:00,False,False,0,,,,,"43,44,45,46",,[],0,,,2,
3871940,3,GUI - Add Player,"As a player, I would like to add myself using the GUI to the game so that I can play

Acceptance Criteria : 
1) A window with a text box to write the player's name
2) A button to ""Add"" the player to the game
3) A pop-up message indicating ""<PlayerName> has successfully registered for the game""",308838,Sprint 1,2022-02-05,2022-02-11,mpattan,Mohammed Sarfraz Khan Pattan,hmoham36,Hameeda Mohamed Mustafa,hmoham36,Hameeda Mohamed Mustafa,New,True,,3.0,1.0,2.0,2.0,8.0,1644109038297925,2,1644108259864646,2022-02-06 00:44:19.864657+00:00,2022-02-20 00:53:46.703027+00:00,2022-02-12 00:44:26.909616+00:00,False,False,0,,,,,"32,33,34,35",,[],0,,,3,
3871942,4,GUI - Help Screen,"As a player of the game, I would like to see a help window which describes all the buttons in the game so that it is easier for me to understand the game

Acceptance Criteria : 
1) A help window
2) A list of all the buttons with description displayed in the window
3) Option to close the window",308838,Sprint 1,2022-02-05,2022-02-11,mpattan,Mohammed Sarfraz Khan Pattan,mpattan,Mohammed Sarfraz Khan Pattan,mpattan,Mohammed Sarfraz Khan Pattan,New,True,,2.0,1.0,1.0,1.0,5.0,1644109038297926,3,1644108652390330,2022-02-06 00:50:52.390342+00:00,2022-02-20 00:54:33.113595+00:00,2022-02-11 18:48:56.212544+00:00,False,False,0,,,,,"36,37,38,39",,[],0,,,2,
3871943,5,GUI - View Voting System,"As a player of the game, I would like to see the voting system adopted for the game so that I can vote accurately

Acceptance Criteria :
1) A window with title ""Voting System"" displaying the possible vote values
2) An option to close the window",308838,Sprint 1,2022-02-05,2022-02-11,mpattan,Mohammed Sarfraz Khan Pattan,shyamprasad96,Shyam Prasad Yanamaddi,shyamprasad96,Shyam Prasad Yanamaddi,New,True,,1.0,1.0,1.0,2.0,5.0,1644109038297927,4,1644108850472042,2022-02-06 00:54:10.472064+00:00,2022-02-20 00:54:44.740381+00:00,2022-02-11 19:20:27.370358+00:00,False,False,0,,,,,"40,41,42",,[],0,,,2,
3871945,6,GUI - Add Issues,"As a Scrum Master, I would like to add issues/user stories to the game so that the players/development team members can give their estimates

Acceptance Criteria :
1) A window titled ""Add Issues"" 
2) A text box to add an issue
3) An option to close the window",308840,Sprint 3,2022-02-19,2022-02-26,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,5.0,1.0,1.0,1.0,8.0,1644109038297940,1,1644109038328165,2022-02-06 00:57:18.328174+00:00,2022-02-13 00:32:17.956921+00:00,2022-02-23 05:08:41.135566+00:00,False,False,0,,,,,"55,56,57,78",,[],0,,,large,
3871946,7,GUI - View Current Players,"As a player of the game, I would like to see the current players of the game so that I know who else is playing the game

Acceptance Criteria : 
1) A button to ""View Current Players""
2) A window titled ""Current Players List"" which opens upon clicking the ""View Current Players"" Button
3) A list of all the current players displayed
4) An option to close the window",308839,Sprint 2,2022-02-12,2022-02-18,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,2.0,1.0,2.0,2.0,7.0,1644109038297932,2,1644109337279068,2022-02-06 01:02:17.279091+00:00,2022-02-13 00:05:42.286137+00:00,2022-02-18 06:26:53.627790+00:00,False,False,0,,,,,"47,48,49,50",,[],0,,,medium,
3871947,8,GUI - Launch a new game,"As a scrum team member, I would like to be able to launch a new game of planning poker so that I can estimate user-stories/issues 

Acceptance Criteria : 
1) A button to launch a new game
2) A new window which displays a message saying ""A new game has been started with the voting system -<PossibleValuesForTheVotes>""",308840,Sprint 3,2022-02-19,2022-02-26,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,5.0,2.0,2.0,2.0,11.0,1644109038297941,2,1644109679804474,2022-02-06 01:07:59.804484+00:00,2022-02-13 00:08:28.066922+00:00,2022-02-26 03:55:21.524964+00:00,False,False,0,,,,,"67,68,71",,[],0,,,large,
3871949,9,GUI - View the Current Issue / User Story,"As a player, I would like to view the current issue/user-story so that I can vote

Acceptance Criteria : 
1) A button to view the ""Current Issue""
2) The current issue displayed in text format",308840,Sprint 3,2022-02-19,2022-02-26,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,3.0,1.0,1.0,1.0,6.0,1644109038297942,3,1644110009256105,2022-02-06 01:13:29.256117+00:00,2022-02-13 00:10:47.702071+00:00,2022-02-26 03:54:51.820371+00:00,False,False,0,,,,,"69,70,76",,[],0,,,large,
3871950,10,GUI - Vote for an Issue / User-Story,"As a player of the game, I would like to vote for the current issue/ user-story so that I can give my estimate

Acceptance Criteria : 
1) A button named ""Vote Issue"" to submit my estimate for the current issue
2) A text-box displayed to enter an estimate
3) A button to ""Submit""",308841,Sprint 4,2022-02-26,2022-03-04,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,True,,8.0,3.0,2.0,2.0,15.0,4,6,1644110158713214,2022-02-06 01:15:58.713227+00:00,2022-02-13 00:13:07.458215+00:00,2022-03-02 20:26:55.181649+00:00,False,False,0,,,,,"80,81,82,83,95",,[],0,,,large,
3871951,11,GUI - Reset Votes,"As a dealer, I would like to reset the votes for an issue/user-story so that we can vote again after a discussion

Acceptance Criteria : 
1) A button displayed to the dealer ""Reset Votes""
2) Upon clicking the button, a pop-up should be opened with text ""Are you sure you want to reset the votes?""
3) A button on the pop-up to ""Reset Votes""",,,,,mpattan,Mohammed Sarfraz Khan Pattan,,,,,New,False,,5.0,2.0,2.0,2.0,11.0,2,1644110439936213,1644110439965821,2022-02-06 01:20:39.965837+00:00,2022-02-13 00:10:02.000199+00:00,,False,False,0,,,,,,,[],0,,,medium,
